publishedAt,Title,description,url,source,sentiment_label,sentiment_score,prob_positive,prob_negative,prob_neutral,sentiment_confidence
2026-08-28 07:15:38+00:00,"Allworth Financial LP Makes New $8.61 Million Investment in PepsiCo, Inc. $PEP - MarketBeat","Allworth Financial LP Makes New $8.61 Million Investment in PepsiCo, Inc. $PEP - MarketBeat",https://news.google.com/rss/articles/CBMizwFBVV95cUxPZnQzU3FCQXUzMkI4Yk9SVG5Ybk1YbkRXZUh4MTBtZmZnTzYzOUFMYk9PZmlXQmh6Q3l1YUJWVWxnM18zcHdQdnF5azczSG1qRWwzUjJXbk85SENUcUZhVUN4aTNyRzVVZWstUHRxTFRITEZKUkJlWXh3R3lSdFJOWEgtUUxrMFo5dUZHSGRiaFFLS3czay1GSWVOOVVkdG1qOFA3WlY5bnl0RlFnRExaWmVGYUpSUWd1VnVZNTR1WmtoSExoX1VZN2NJTjF1Q3M?oc=5,{'name': 'MarketBeat'},neutral,0.0,0.0,0.0,1.0,1.0
2026-08-28 07:09:55+00:00,"B. Metzler seel. Sohn & Co. AG Invests $51.06 Million in PepsiCo, Inc. $PEP - MarketBeat","B. Metzler seel. Sohn & Co. AG Invests $51.06 Million in PepsiCo, Inc. $PEP - MarketBeat",https://news.google.com/rss/articles/CBMixAFBVV95cUxNVnR6M0ROQkgzR2RKcUtrdDB4dWtqU19QdnBIYTN2TExCRVptUjRmc3czbTh3Q1JVeklrQVl4YnFOaVJvczhIejFlcDdIX1ZDbUpfWDhkdmJCYUJBUnV6M0JXSVdWTjZjVXowS0RmQ2Q5ZW93RXlVMFFiVmozaGEyRUJvbHFiM2FsQ0cwVHNNUzUzOFNpM09BN1pCYnppTTNNSGhWYnQyMGFkRkwxbGtPTDY2Y25qYXNmLWpLdU55TzRFRV9G?oc=5,{'name': 'MarketBeat'},neutral,-0.0,0.0,0.0,1.0,1.0
2026-08-27 09:00:19+00:00,"151,539 Shares in PepsiCo, Inc. $PEP Bought by Madison Asset Management LLC - MarketBeat","151,539 Shares in PepsiCo, Inc. $PEP Bought by Madison Asset Management LLC - MarketBeat",https://news.google.com/rss/articles/CBMizAFBVV95cUxOMTNheXRJa2RaLUJMdy1oUENXLWs3azZleE1SQXgzOVBRallWSURXYjJFVURHakRRZGRNMXAxQ1VDWlBVV1NXcE83RFZIQWZKUGxWdFFHVEM0My1uQmdBMlItTGtWNklneWh4d19xNG5Ec1p3am44czF3WGFxWnZsQ1MzcmU1T0NRNktnOGdpWUpqZGZuOUdQc3JMOW9XWHVDejJoLTR4MElURWp6TGhlRDBvdF93NHc1eTIyZ0c1RUxNVnBUREJ6SXRNbGo?oc=5,{'name': 'MarketBeat'},neutral,0.0,0.0,0.0,1.0,1.0
2026-08-27 09:00:18+00:00,"Kentucky Farm Bureau Mutual Insurance Co Invests $2.03 Million in PepsiCo, Inc. $PEP - MarketBeat","Kentucky Farm Bureau Mutual Insurance Co Invests $2.03 Million in PepsiCo, Inc. $PEP - MarketBeat",https://news.google.com/rss/articles/CBMi1wFBVV95cUxQeHVjTzZmRDlGWE5ma1VDb21jalQ1RmQxbEZ6ajJuZ2lJZElZWll0N2JmbVVxaG1vR1VqdXpIZXA0TF9aTTd4Q2pnUmg1SElwdHhwT1NINURuYS1uRHBDaDRyNVRMYkdxdEo3ZTRMRVFOQm9JT010anlPQnRXcWdubUJ2dHR4V1FNbGFXaDluT21LRk5oc3dHV3lFN2tqWXozZURieHRtVmJldTZuQ0U0OEUxTi10UFhpYk5WaXhTYjBKRkxWX2RUWU5lenZVdEdjdFh0djhTMA?oc=5,{'name': 'MarketBeat'},neutral,0.0,0.0,0.0,1.0,1.0
2026-08-27 09:00:17+00:00,"Northcape Wealth Management LLC Takes $5.48 Million Position in PepsiCo, Inc. $PEP - MarketBeat","Northcape Wealth Management LLC Takes $5.48 Million Position in PepsiCo, Inc. $PEP - MarketBeat",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPLU1MMEQ5Tlh3UXJXQnVqOFlPM1k3RElfdk0xc2hNVGpHUjRKeU9wY1VKTUhKbW1ieG9JcTI5cm9rSjNWNkRGLWRIbzhaNHlpbWpzcnZBblZQdFV2WDdtTWY4OEQzZzVnd3BhaFRTZWR2UTJZb3dPN0QyckV0RTJ4c25Kc2Q4WmhYdzQ4S3lnc1h4clhmaUNwc0lTQVFBQk43SjhXN3EwRkc5QVE2b1liN1IydXh1UWdMWTFVQ2RqSDJfX0xBMVVLODV1d0xIWlhPcHFkSQ?oc=5,{'name': 'MarketBeat'},neutral,0.0,0.0,0.0,1.0,1.0
2026-08-27 09:00:00+00:00,"Tocqueville Asset Management L.P. Acquires New Shares in PepsiCo, Inc. $PEP - MarketBeat","Tocqueville Asset Management L.P. Acquires New Shares in PepsiCo, Inc. $PEP - MarketBeat",https://news.google.com/rss/articles/CBMiywFBVV95cUxNMTNPXy01NzliaF9qZXcwdlljbmdVVEoxek1rS1VPWXhpa0Z5VXF2YkZxTEduZHlKTU9zVFBEc2JEOFdQOUZob2F1OTFjRklQWkxaSDhGNndMTDR2MWh3d3RzVjE3MUZFYlhtSVh2eWF3ejk2MnJxSHhFMUJuZnJGcGRBUVdsTG5tYmNMV1d6cEM5WE9LMmRBUXZkVHZSQTA0Ul9WdmNYaVdEa3VPdXVJU21sSThkdG5SdjlCOGJWNGduMnNYa0VFSEhZSQ?oc=5,{'name': 'MarketBeat'},neutral,0.0003,0.0003,0.0,0.9997,0.9997
2026-08-27 08:58:09+00:00,"OVERSEA CHINESE BANKING Corp Ltd Purchases Shares of 34,296 PepsiCo, Inc. $PEP - MarketBeat","OVERSEA CHINESE BANKING Corp Ltd Purchases Shares of 34,296 PepsiCo, Inc. $PEP - MarketBeat",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPdi1VRDdPeWpYMlZvMGE5Snh4dmZUOWxMUW50M1J3Ukg1OG5fMWxrajlYSnJjMjBfNElPR1JZRWJQckxhcTZjRF9yTDFtUWNfU3htVEV2OVJuVmIwQzJOQ21RVUtqRHZsVWZDTXl0TlVLT0k4VVR2VW9OVi1hUmtMZG1TVFlURFBybk85aDIwbWZhZFBqdEpfVWNrc0M0NU9ISFVjbVFjSzllMkxCMGQ3a1o5Y21xMzJtcUFvMXdaWHdrTWhyVTZLUWNEdUFCazdm?oc=5,{'name': 'MarketBeat'},neutral,0.0,0.0,0.0,1.0,1.0
2026-08-27 08:58:08+00:00,"Shepherd Financial Partners LLC Acquires Shares of 8,441 PepsiCo, Inc. $PEP - MarketBeat","Shepherd Financial Partners LLC Acquires Shares of 8,441 PepsiCo, Inc. $PEP - MarketBeat",https://news.google.com/rss/articles/CBMizAFBVV95cUxPLVR2ZU9FREw3SGdtOUUxY25heUxJYVBRZFlDWFM0VTRYVGNzaUNleC01ODNJclB3MkhfZFRXWnpyS0huOFJ4VHFiTG43ZGF1S2JFQmVXTHlNeHIxUFQ0am1WNXZldGJQTFNpOWt6enZqZGJVVWhQSUJKdy15dWhJdnZRcmg4WDNQTGRpUVR0eXVDVXRWM2FNc0QwZENXaUh0Z0RhdWFPZ2FZMFpweHQ2eFFNUVE1Y1NzSERyRHBMeVFmRXJ4RXphNXJ5Umc?oc=5,{'name': 'MarketBeat'},neutral,0.0,0.0,0.0,1.0,1.0
2026-08-27 08:58:07+00:00,"12,500 Shares in PepsiCo, Inc. $PEP Bought by Jupiter Wealth Management LLC - MarketBeat","12,500 Shares in PepsiCo, Inc. $PEP Bought by Jupiter Wealth Management LLC - MarketBeat",https://news.google.com/rss/articles/CBMizAFBVV95cUxNcXhNUTJMbWFJYUM5elB5VmsxdFgwcVJsTmdxLUViSGUzdmU5N2FkX1RjdEt6VFlYZENNaHAzUW1HZ2MyVUlCSV9fM1g4ZW9DaU9CME03bGU2UkJEY01iRVlTaXNvMUlOYjN5QlltLVBsRW9MaUVFYmpaTzA0V256azQxYmVaOXFkVGVURlhfZXhQcFVJcXFueEV3Q1RrbEg2bG4wV1Voek1fNWY0Z0xJUFd6MVdwbGJnM3V1QjlYRzg1R09iMWFPN2txMGI?oc=5,{'name': 'MarketBeat'},neutral,0.0,0.0,0.0,1.0,1.0
2026-08-27 08:58:06+00:00,"United Bank Acquires Shares of 9,861 PepsiCo, Inc. $PEP - MarketBeat","United Bank Acquires Shares of 9,861 PepsiCo, Inc. $PEP - MarketBeat",https://news.google.com/rss/articles/CBMisgFBVV95cUxPWVB3dm1GVGkwSTcydTI4TXlET0dGYTJRdFZxMDlwdFJFR0lpOEpCUFFQcW1UX0hvMjRvSXFmYVJPM1J0Z3FHU3FvZXhLZEF3em9GOXNFc1VYR0ZScmFwNU9OWXBheC1UeEw1R28yRUNUZzhlRzFLaUVWYXdRYVplUkkxZXVubjFtNmNkcEVwTWtGOG9vQ0FYc2w1V2NGR2pPV0ZIZjRjZkxXZ0VhMGIwcXFR?oc=5,{'name': 'MarketBeat'},neutral,0.0001,0.0001,0.0,0.9999,0.9999
